Trained On,Tested On,mIoU,mRecall,mPrecision
egohands,egohands,0.8603,0.9156,0.9343
egohands,ego_youtube_hands,0.2190,0.4496,0.2993
egohands,gtea,0.7342,0.8350,0.8589
egohands,hand_over_face,0.4149,0.7272,0.4914
egohands,combined4,0.7580,0.8733,0.8517
ego_youtube_hands,egohands,0.3976,0.4510,0.7704
ego_youtube_hands,ego_youtube_hands,0.6033,0.7057,0.8061
ego_youtube_hands,gtea,0.2970,0.3047,0.9208
ego_youtube_hands,hand_over_face,0.2322,0.2729,0.6091
ego_youtube_hands,combined4,0.3794,0.4243,0.7819
gtea,egohands,0.4139,0.5678,0.6043
gtea,ego_youtube_hands,0.1632,0.1973,0.4861
gtea,gtea,0.7909,0.8279,0.9466
gtea,hand_over_face,0.1182,0.1437,0.3991
gtea,combined4,0.4451,0.5779,0.6595
hand_over_face,egohands,0.4484,0.5757,0.6698
hand_over_face,ego_youtube_hands,0.2616,0.3293,0.5600
hand_over_face,gtea,0.5386,0.5771,0.8898
hand_over_face,hand_over_face,0.6960,0.8068,0.8351
hand_over_face,combined4,0.4682,0.5794,0.7092
